model,augmentation,phase,epoch,loss,accuracy,date
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,1,0.4036996066525933,0.8318505307152158,2021-08-01 12:05:30.888118
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,1,0.5426515307277441,0.851740247938368,2021-08-01 12:05:30.888174
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,2,0.436930195055902,0.8045966825939358,2021-08-01 12:22:30.883800
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,2,0.5117913197519051,0.851740247938368,2021-08-01 12:22:30.883869
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,3,0.43250729351614914,0.8056656813848582,2021-08-01 12:39:31.551196
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,3,0.479757517690046,0.851740247938368,2021-08-01 12:39:31.551221
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,4,0.44417480153164696,0.8074886358351929,2021-08-01 12:56:29.718787
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,4,0.507201719408234,0.851740247938368,2021-08-01 12:56:29.718817
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,5,0.44230070092404883,0.8073326125372023,2021-08-01 13:13:27.814538
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,5,0.4404178913268778,0.851740247938368,2021-08-01 13:13:27.814594
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,6,0.43167738759712804,0.8087575451078866,2021-08-01 13:30:25.799325
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,6,0.49074984431887664,0.851740247938368,2021-08-01 13:30:25.799383
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,7,0.4357240918136778,0.8087575451078866,2021-08-01 13:47:24.180646
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,7,0.4853607303152482,0.851740247938368,2021-08-01 13:47:24.180673
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,8,0.4245314225909256,0.808314075288318,2021-08-01 14:04:22.535685
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,8,0.5285515095521178,0.851740247938368,2021-08-01 14:04:22.535711
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,9,0.43085373446478376,0.8085991908482139,2021-08-01 14:21:20.442589
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,9,0.5839968197565112,0.851740247938368,2021-08-01 14:21:20.442614
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,10,0.4282671435048715,0.8087575451078866,2021-08-01 14:38:18.239409
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,10,0.5154076302734514,0.851740247938368,2021-08-01 14:38:18.239464
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,11,0.45545302469815524,0.8081930193219862,2021-08-01 14:55:15.883040
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,11,0.45618408295429413,0.851740247938368,2021-08-01 14:55:15.883095
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,12,0.44540951431595854,0.8084100487118671,2021-08-01 15:12:13.536013
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,12,0.433909773060845,0.851740247938368,2021-08-01 15:12:13.536069
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,13,0.43574066816917845,0.8087575451078866,2021-08-01 15:29:11.196414
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,13,0.5218157526933485,0.851740247938368,2021-08-01 15:29:11.196484
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,14,0.4374304234981537,0.8075571085611976,2021-08-01 15:46:12.113797
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,14,0.4758523954388996,0.851740247938368,2021-08-01 15:46:12.113851
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,15,0.44515741185418195,0.8067051130022325,2021-08-01 16:03:10.827598
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,15,0.5228251718915999,0.851740247938368,2021-08-01 16:03:10.827627
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,16,0.4386856619379528,0.8063794613792783,2021-08-01 16:20:10.216869
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,16,0.48563850039823186,0.851740247938368,2021-08-01 16:20:10.216925
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,17,0.433174105259102,0.8075612357003347,2021-08-01 16:37:08.104854
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,17,0.43593791996439296,0.851740247938368,2021-08-01 16:37:08.104883
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,18,0.4328260780267772,0.8067359299432666,2021-08-01 16:54:05.916786
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,18,0.4256378067864312,0.851740247938368,2021-08-01 16:54:05.916814
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,19,0.42254140308969435,0.8075486624581476,2021-08-01 17:11:03.892633
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,19,0.4138043988909986,0.851740247938368,2021-08-01 17:11:03.892660
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,20,0.4144808605313301,0.807886564708891,2021-08-01 17:28:03.015380
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,20,0.4323225804294149,0.851740247938368,2021-08-01 17:28:03.015407
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,21,0.41204601167590316,0.8077118791852678,2021-08-01 17:45:01.052438
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,21,0.4691696566581312,0.851740247938368,2021-08-01 17:45:01.052466
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,22,0.40676036579534414,0.8078446626209079,2021-08-01 18:02:05.835276
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,22,0.4318106107413769,0.851740247938368,2021-08-01 18:02:05.835319
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,23,0.40562509258632506,0.8075884399414059,2021-08-01 18:19:04.650757
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,23,0.43001699820160866,0.851740247938368,2021-08-01 18:19:04.650784
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,24,0.40149048687446687,0.8073185134161087,2021-08-01 18:36:03.280602
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,24,0.4266468594575094,0.851740247938368,2021-08-01 18:36:03.280629
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,25,0.3919445054206465,0.8085863385881696,2021-08-01 18:53:01.376692
