model,augmentation,phase,epoch,loss,accuracy,date,transformations
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,1,0.4036996066525933,0.8318505307152158,2021-08-01 12:05:30.888118,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,1,0.5426515307277441,0.851740247938368,2021-08-01 12:05:30.888174,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,2,0.4451933169293971,0.8099615391322545,2021-12-19 09:19:23.422285,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,2,0.46895879983074135,0.851740247938368,2021-12-19 09:19:23.422336,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,3,0.4492323158175818,0.8055027117047991,2021-12-19 09:42:55.567651,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,3,0.4805965509679582,0.851740247938368,2021-12-19 09:42:55.567685,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,4,0.46482591410389257,0.8071939551943822,2021-12-19 10:06:23.424864,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,4,0.4575618091763722,0.851740247938368,2021-12-19 10:06:23.424913,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,5,0.4500308595642093,0.8082910069056922,2021-12-19 10:30:01.364904,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,5,0.4625920285574264,0.851740247938368,2021-12-19 10:30:01.364939,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,6,0.4528642612864219,0.8083641270228791,2021-12-19 10:53:36.963999,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,6,0.4690458193421364,0.851740247938368,2021-12-19 10:53:36.964061,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,7,0.4337701804137656,0.8082287859235493,2021-12-19 11:17:03.703897,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,7,0.4526919333471192,0.851740247938368,2021-12-19 11:17:03.703945,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,8,0.4339093918601672,0.8086294148763026,2021-12-19 11:40:38.712075,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,8,0.531156988773081,0.851740247938368,2021-12-19 11:40:38.712123,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,9,0.45814171930154163,0.8083386404854911,2021-12-19 12:04:08.409927,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,9,0.4597362781046993,0.851740247938368,2021-12-19 12:04:08.409963,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,10,0.45224097079286973,0.811036676316034,2021-12-19 12:27:38.265383,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,10,0.48344027346207036,0.851740247938368,2021-12-19 12:27:38.265418,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,11,0.4504394779114851,0.8074898826962429,2021-12-19 12:51:20.721898,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,11,0.4402707386554943,0.851740247938368,2021-12-19 12:51:20.721959,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,12,0.4477787392169592,0.8063957693917412,2021-12-19 13:14:52.822982,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,12,0.4239882117137313,0.851740247938368,2021-12-19 13:14:52.823056,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,13,0.4404340645298362,0.8104273536318823,2021-12-19 13:38:23.661532,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,13,0.43871588100575737,0.851740247938368,2021-12-19 13:38:23.661566,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,14,0.44265326588813747,0.8066951381138391,2021-12-19 14:01:59.533557,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,14,0.4350529535363118,0.851740247938368,2021-12-19 14:01:59.533591,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,15,0.440309968874568,0.8071389537992928,2021-12-19 14:25:24.449514,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,15,0.4317498711248239,0.851740247938368,2021-12-19 14:25:24.449561,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,16,0.43865895944957933,0.8080324532645088,2021-12-19 14:48:44.893971,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,16,0.44367350428882574,0.851740247938368,2021-12-19 14:48:44.894033,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,17,0.4291735556242721,0.8054194045293896,2021-12-19 15:12:10.750612,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,17,0.4271691642701626,0.851740247938368,2021-12-19 15:12:10.750674,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,18,0.43090561791101384,0.804660211472284,2021-12-19 15:35:28.170928,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,18,0.4220791534003284,0.851740247938368,2021-12-19 15:35:28.170969,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,19,0.418606704761762,0.8076263921828498,2021-12-19 15:58:45.859668,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,19,0.4329471341230803,0.851740247938368,2021-12-19 15:58:45.859718,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
