model,augmentation,phase,epoch,loss,accuracy,date,transformations
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,1,0.4036996066525933,0.8318505307152158,2021-08-01 12:05:30.888118,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,1,0.5426515307277441,0.851740247938368,2021-08-01 12:05:30.888174,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,2,0.4428252624857816,0.8088805716378349,2021-10-29 18:57:08.423069,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,2,0.5013498046538896,0.851740247938368,2021-10-29 18:57:08.423095,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,3,0.461669434403025,0.8070657813662571,2021-10-29 19:15:52.808688,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,3,0.4668997830607825,0.851740247938368,2021-10-29 19:15:52.808743,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,4,0.4363706049420649,0.8067609107607885,2021-10-29 19:34:37.694016,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,4,0.47660154613355793,0.851740247938368,2021-10-29 19:34:37.694068,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,5,0.435509530490353,0.8086902494884669,2021-10-29 19:53:22.371097,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,5,0.47282200302514765,0.851740247938368,2021-10-29 19:53:22.371151,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,6,0.4370578313468113,0.8080802699497764,2021-10-29 20:12:06.514009,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,6,0.47218717268357674,0.851740247938368,2021-10-29 20:12:06.514069,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,7,0.4301470217871524,0.8087714204334071,2021-10-29 20:30:50.931812,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,7,0.44118191392885314,0.851740247938368,2021-10-29 20:30:50.931881,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,8,0.4313967169972048,0.8054119030180432,2021-10-29 20:49:34.742655,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,8,0.4677800957320465,0.851740247938368,2021-10-29 20:49:34.742680,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,9,0.42569987411566435,0.8063717622302826,2021-10-29 21:08:18.851963,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,9,0.4416005109747251,0.851740247938368,2021-10-29 21:08:18.852002,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,10,0.4226280664581628,0.8064743390764505,2021-10-29 21:27:03.304040,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,10,0.44985018209036853,0.851740247938368,2021-10-29 21:27:03.304079,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,11,0.4234210986200543,0.8082122250511529,2021-10-29 21:45:47.174985,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,11,0.4499907495246993,0.851740247938368,2021-10-29 21:45:47.175011,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,12,0.41818811873506223,0.8081692010788686,2021-10-29 22:04:32.366006,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,12,0.43188014587180484,0.851740247938368,2021-10-29 22:04:32.366073,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,13,0.41147156656675393,0.8069525611514131,2021-10-29 22:23:16.636939,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,13,0.4295700346844064,0.851740247938368,2021-10-29 22:23:16.636963,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,14,0.41022648547022117,0.8076631062825521,2021-10-29 22:42:00.833692,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,14,0.42025271171910894,0.851740247938368,2021-10-29 22:42:00.833733,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,15,0.4076811875039268,0.8068596859886529,2021-10-29 23:00:45.090403,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,15,0.41910043422960574,0.851740247938368,2021-10-29 23:00:45.090456,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,16,0.39495736601806825,0.806780840192522,2021-10-29 23:19:30.730152,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,16,0.4183975213310785,0.851740247938368,2021-10-29 23:19:30.730179,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
