model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,2,0.523423397788389,0.7135554279216975,2022-01-20 02:31:47.809144,['color_transfer']
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,2,0.5290972108544715,0.731856269112816,2022-01-20 02:31:47.809201,['color_transfer']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,3,0.5024245149943567,0.727803891721852,2022-01-20 06:00:52.534153,['color_transfer']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,3,0.5251616150260477,0.7276523473459091,2022-01-20 06:00:52.534204,['color_transfer']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,4,0.4879857322329883,0.7393378300131939,2022-01-20 09:30:06.915740,['color_transfer']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,4,0.4959432684754692,0.7484915743425371,2022-01-20 09:30:06.915790,['color_transfer']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,5,0.4674401907662375,0.7593528947919145,2022-01-20 12:59:52.310105,['color_transfer']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,5,0.48379926729337946,0.7557474593247887,2022-01-20 12:59:52.310154,['color_transfer']
ORCA__Size-640x640_Epoch-6_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,6,0.4609055967956489,0.7620452771372738,2022-01-20 16:30:41.032070,['color_transfer']
ORCA__Size-640x640_Epoch-6_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,6,0.4593330717457908,0.7726787119182045,2022-01-20 16:30:41.032119,['color_transfer']
ORCA__Size-640x640_Epoch-7_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,7,0.4473259805130762,0.7710595422839208,2022-01-20 20:01:43.948140,['color_transfer']
ORCA__Size-640x640_Epoch-7_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,7,0.4407931309840996,0.7818903011499952,2022-01-20 20:01:43.948191,['color_transfer']
ORCA__Size-640x640_Epoch-8_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,8,0.434626846838207,0.7829540034624644,2022-01-20 23:32:33.225266,['color_transfer']
ORCA__Size-640x640_Epoch-8_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,8,0.43398918185438784,0.7879480909412657,2022-01-20 23:32:33.225318,['color_transfer']
model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-9_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,9,0.4264518155956263,0.7878662687464488,2022-01-21 04:45:38.943433,['color_transfer']
ORCA__Size-640x640_Epoch-9_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,9,0.42234486593625636,0.7963094981763277,2022-01-21 04:45:38.943484,['color_transfer']
ORCA__Size-640x640_Epoch-10_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,10,0.41861186148471824,0.7943923391813392,2022-01-21 08:14:53.086574,['color_transfer']
ORCA__Size-640x640_Epoch-10_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,10,0.4117212876223595,0.8056376189266138,2022-01-21 08:14:53.086625,['color_transfer']
model,augmentation,phase,epoch,loss,accuracy,date,transformations
model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-11_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,11,0.40924065037127305,0.800732587126847,2022-01-21 13:38:10.518752,['color_transfer']
ORCA__Size-640x640_Epoch-11_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,11,0.4075697753424624,0.8086727358395124,2022-01-21 13:38:10.518805,['color_transfer']
ORCA__Size-640x640_Epoch-12_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,12,0.4072794085976625,0.8034736311774998,2022-01-21 17:06:49.253360,['color_transfer']
ORCA__Size-640x640_Epoch-12_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,12,0.41103271586927315,0.8078507746683925,2022-01-21 17:06:49.253412,['color_transfer']
ORCA__Size-640x640_Epoch-13_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,13,0.3943345677218948,0.8128793598458796,2022-01-21 20:35:46.416402,['color_transfer']
ORCA__Size-640x640_Epoch-13_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,13,0.3967477394846954,0.8153943533068422,2022-01-21 20:35:46.416453,['color_transfer']
ORCA__Size-640x640_Epoch-14_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,14,0.38503678984979256,0.8205949802211647,2022-01-22 00:04:42.911907,['color_transfer']
ORCA__Size-640x640_Epoch-14_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,14,0.3903228505864769,0.8212836958738972,2022-01-22 00:04:42.911959,['color_transfer']
ORCA__Size-640x640_Epoch-15_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,15,0.38001672125670277,0.8234968230770503,2022-01-22 03:34:17.664993,['color_transfer']
ORCA__Size-640x640_Epoch-15_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,15,0.3914707479352093,0.8233517729153326,2022-01-22 03:34:17.665046,['color_transfer']
ORCA__Size-640x640_Epoch-16_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,16,0.37353576100512687,0.8288063555509687,2022-01-22 07:04:35.286814,['color_transfer']
ORCA__Size-640x640_Epoch-16_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,16,0.38627149175234843,0.8258265448691363,2022-01-22 07:04:35.286865,['color_transfer']
ORCA__Size-640x640_Epoch-17_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,17,0.3691344711826203,0.8297798389944849,2022-01-22 10:33:51.593382,['color_transfer']
ORCA__Size-640x640_Epoch-17_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,17,0.38601342877391803,0.8254682852556292,2022-01-22 10:33:51.593436,['color_transfer']
ORCA__Size-640x640_Epoch-18_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,train,18,0.3591514219737308,0.8387142337779925,2022-01-22 14:03:52.202573,['color_transfer']
ORCA__Size-640x640_Epoch-18_Images-4181_Batch-1__color_augmentation.pth,color_augmentation,test,18,0.37960973242827756,0.8314191015712155,2022-01-22 14:03:52.202625,['color_transfer']
