model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,1,0.5722715740097222,0.6697947723892334,2021-12-19 23:03:13.271565,[None]
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,1,0.5714383295167107,0.682562090501912,2021-12-19 23:03:13.271623,[None]
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,2,0.5170268956424802,0.7182268377640302,2022-02-14 18:02:00.863206,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,2,0.49175807893695217,0.756549017509696,2022-02-14 18:02:00.863257,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,3,0.47510211785225687,0.7533150530534349,2022-02-14 21:17:40.204563,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,3,0.4401439699716159,0.7869409125203972,2022-02-14 21:17:40.204613,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,4,0.44530713103962866,0.7770183521809971,2022-02-15 00:32:57.982167,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,4,0.4179788744112419,0.7993599887022976,2022-02-15 00:32:57.982219,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,5,0.42274071289463866,0.7954308985683008,2022-02-15 03:48:25.636872,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,5,0.4077245940343526,0.8115020984870153,2022-02-15 03:48:25.636924,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-6_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,6,0.4043554528519472,0.8097254874871043,2022-02-15 07:03:47.740926,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-6_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,6,0.4068332660200872,0.812611777287087,2022-02-15 07:03:47.740978,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-7_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,7,0.3951030576232303,0.8181247302248998,2022-02-15 10:19:26.469873,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-7_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,7,0.41307997616093967,0.810009817384338,2022-02-15 10:19:26.469944,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-8_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,8,0.38858435921062695,0.8221176486869542,2022-02-15 13:35:30.781640,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-8_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,8,0.41366049957176293,0.8110092656842767,2022-02-15 13:35:30.781692,[None 'grid_distortion' 'optical_distortion']
