model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,train,1,0.5722715740097222,0.6697947723892334,2021-12-19 23:03:13.271565,[None]
ORCA__Size-640x640_Epoch-1_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,test,1,0.5714383295167107,0.682562090501912,2021-12-19 23:03:13.271623,[None]
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,train,2,0.5130255944497618,0.7208127967526088,2021-12-21 02:37:36.147881,[None]
ORCA__Size-640x640_Epoch-2_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,test,2,0.4896212029047402,0.7595173599730114,2021-12-21 02:37:36.147950,[None]
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,train,3,0.4733925828898646,0.7545356983694838,2021-12-21 07:13:30.351591,[None]
ORCA__Size-640x640_Epoch-3_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,test,3,0.43737423233064365,0.7915297712084705,2021-12-21 07:13:30.351657,[None]
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,train,4,0.43755659963548027,0.7826977042723021,2021-12-21 11:43:33.829436,[None]
ORCA__Size-640x640_Epoch-4_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,test,4,0.4239172119397027,0.7993124436640449,2021-12-21 11:43:33.829497,[None]
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,train,5,0.41655503656591303,0.7996544274414763,2021-12-21 16:39:29.205055,[None]
ORCA__Size-640x640_Epoch-5_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,test,5,0.4334185678238343,0.7953381203274957,2021-12-21 16:39:29.205119,[None]
ORCA__Size-640x640_Epoch-6_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,train,6,0.4036268808270179,0.8091149969495564,2021-12-21 21:01:09.785358,[None]
ORCA__Size-640x640_Epoch-6_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,test,6,0.4224997719509132,0.806342931984525,2021-12-21 21:01:09.785419,[None]
ORCA__Size-640x640_Epoch-7_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,train,7,0.39028938584202527,0.8206393325320288,2021-12-22 01:21:24.744432,[None]
ORCA__Size-640x640_Epoch-7_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,test,7,0.41928440584146237,0.8106806625369618,2021-12-22 01:21:24.744495,[None]
ORCA__Size-640x640_Epoch-8_Images-4181_Batch-1__no_augmentation.pth,no_augmentation,train,8,0.3810462116227498,0.8273267594241455,2021-12-22 05:52:46.485933,[None]
