model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-640x640_Epoch-1_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,1,0.579780061564377,0.6549800263181258,2021-04-27 08:33:19.720100
ORCA__Size-640x640_Epoch-1_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,1,0.5724742533271885,0.7012484744856992,2021-04-27 08:33:19.720136
ORCA__Size-640x640_Epoch-2_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,2,0.526112072082887,0.7103864394192474,2021-04-27 09:43:26.570716
ORCA__Size-640x640_Epoch-2_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,2,0.507695898093203,0.7487854689366784,2021-04-27 09:43:26.570741
ORCA__Size-640x640_Epoch-3_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,3,0.4732726371677762,0.7593451774633683,2021-04-27 10:53:24.750678
ORCA__Size-640x640_Epoch-3_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,3,0.49853768585118485,0.7580108401937713,2021-04-27 10:53:24.750732
ORCA__Size-640x640_Epoch-4_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,4,0.4315451994509343,0.7926679394005579,2021-04-27 12:03:46.669902
ORCA__Size-640x640_Epoch-4_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,4,0.5204383364034062,0.7615199868624924,2021-04-27 12:03:46.669947
ORCA__Size-640x640_Epoch-5_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,5,0.4105592376394331,0.8098432732541027,2021-04-27 13:14:29.878647
ORCA__Size-640x640_Epoch-5_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,5,0.5379143305269728,0.7618344936575939,2021-04-27 13:14:29.878694
ORCA__Size-640x640_Epoch-6_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,6,0.39681177838531695,0.8190054014653141,2021-04-27 14:30:41.868527
ORCA__Size-640x640_Epoch-6_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,6,0.5308654793096415,0.766073159932235,2021-04-27 14:30:41.868554
ORCA__Size-640x640_Epoch-7_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,7,0.3912154230886277,0.8222038159530133,2021-04-27 15:40:45.934964
ORCA__Size-640x640_Epoch-7_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,7,0.5278113974189317,0.7686525741814134,2021-04-27 15:40:45.935011
ORCA__Size-640x640_Epoch-8_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,8,0.3861227263902586,0.8260934638064448,2021-04-27 16:50:47.609329
ORCA__Size-640x640_Epoch-8_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,8,0.5139312503398746,0.7743691604596029,2021-04-27 16:50:47.609376
ORCA__Size-640x640_Epoch-9_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,9,0.37027929835277723,0.8349369001616713,2021-04-27 18:00:28.508608
ORCA__Size-640x640_Epoch-9_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,9,0.5456609614504992,0.7712511200716852,2021-04-27 18:00:28.508650
ORCA__Size-640x640_Epoch-10_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,10,0.36293401159334965,0.8386234995280747,2021-04-27 19:10:07.600069
ORCA__Size-640x640_Epoch-10_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,10,0.5391855919945054,0.7732185055676897,2021-04-27 19:10:07.600111
ORCA__Size-640x640_Epoch-11_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,11,0.35866303728229443,0.8418321578468437,2021-04-27 20:19:47.608992
ORCA__Size-640x640_Epoch-11_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,11,0.5350832530879277,0.7718291149800254,2021-04-27 20:19:47.609021
ORCA__Size-640x640_Epoch-12_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,12,0.3531489540938662,0.8447804537686456,2021-04-27 21:29:50.230678
