model,phase,epoch,loss,accuracy,date
ORCA__Size-640x640_Epoch-1_Images-3344_Batch-1.pth,train,1,0.5501010508129471,0.6864131237559336,2021-04-22 23:29:38.988552
ORCA__Size-640x640_Epoch-1_Images-3344_Batch-1.pth,valid,1,0.5075832786062997,0.727157963943025,2021-04-22 23:29:38.988604
ORCA__Size-640x640_Epoch-2_Images-3344_Batch-1.pth,train,2,0.4774009815448423,0.7536179180236537,2021-04-23 00:44:30.796587
ORCA__Size-640x640_Epoch-2_Images-3344_Batch-1.pth,valid,2,0.432465282864112,0.789083302998059,2021-04-23 00:44:30.796647
ORCA__Size-640x640_Epoch-3_Images-3344_Batch-1.pth,train,3,0.4460239399293589,0.7776880109139025,2021-04-23 01:59:20.841171
ORCA__Size-640x640_Epoch-3_Images-3344_Batch-1.pth,valid,3,0.47136470436017286,0.7616012824820794,2021-04-23 01:59:20.841201
ORCA__Size-640x640_Epoch-4_Images-3344_Batch-1.pth,train,4,0.4168777548179975,0.7985985517729971,2021-04-23 03:14:08.383054
ORCA__Size-640x640_Epoch-4_Images-3344_Batch-1.pth,valid,4,0.40510795070492667,0.8078292048191089,2021-04-23 03:14:08.383087
ORCA__Size-640x640_Epoch-5_Images-3344_Batch-1.pth,train,5,0.40310383604563166,0.8088311132403626,2021-04-23 04:28:55.463341
ORCA__Size-640x640_Epoch-5_Images-3344_Batch-1.pth,valid,5,0.41709928577287364,0.7950495398372162,2021-04-23 04:28:55.463382
ORCA__Size-640x640_Epoch-6_Images-3344_Batch-1.pth,train,6,0.38941866304206274,0.8182067739678369,2021-04-23 05:43:42.138395
ORCA__Size-640x640_Epoch-6_Images-3344_Batch-1.pth,valid,6,0.3732456114485842,0.8307575272317438,2021-04-23 05:43:42.138485
ORCA__Size-640x640_Epoch-7_Images-3344_Batch-1.pth,train,7,0.3759285129264719,0.826251884350936,2021-04-23 06:58:31.006473
ORCA__Size-640x640_Epoch-7_Images-3344_Batch-1.pth,valid,7,0.37558053466385694,0.825783014696275,2021-04-23 06:58:31.006503
ORCA__Size-640x640_Epoch-8_Images-3344_Batch-1.pth,train,8,0.3663042754622212,0.8344856714860106,2021-04-23 08:13:15.089526
ORCA__Size-640x640_Epoch-8_Images-3344_Batch-1.pth,valid,8,0.4038454492263754,0.8077956930910252,2021-04-23 08:13:15.089571
ORCA__Size-640x640_Epoch-9_Images-3344_Batch-1.pth,train,9,0.3617598994074692,0.8374248887933617,2021-04-23 09:28:05.598532
ORCA__Size-640x640_Epoch-9_Images-3344_Batch-1.pth,valid,9,0.33282005381208524,0.8570444866804816,2021-04-23 09:28:05.598579
ORCA__Size-640x640_Epoch-10_Images-3344_Batch-1.pth,train,10,0.35248057149087736,0.84149938263962,2021-04-23 10:42:48.878041
ORCA__Size-640x640_Epoch-10_Images-3344_Batch-1.pth,valid,10,0.35831532748627476,0.8386802230342733,2021-04-23 10:42:48.878083
ORCA__Size-640x640_Epoch-11_Images-3344_Batch-1.pth,train,11,0.3462308176657247,0.8461375660873494,2021-04-23 11:57:39.883899
ORCA__Size-640x640_Epoch-11_Images-3344_Batch-1.pth,valid,11,0.33762313897989626,0.8525414339017705,2021-04-23 11:57:39.883924
ORCA__Size-640x640_Epoch-12_Images-3344_Batch-1.pth,train,12,0.3412954075588916,0.8476235217226746,2021-04-23 19:02:03.469998
ORCA__Size-640x640_Epoch-12_Images-3344_Batch-1.pth,valid,12,0.3511689467802911,0.8478107236363135,2021-04-23 19:02:03.470052
ORCA__Size-640x640_Epoch-13_Images-3344_Batch-1.pth,train,13,0.3358795432110415,0.8506932841761842,2021-04-23 20:15:38.855584
ORCA__Size-640x640_Epoch-13_Images-3344_Batch-1.pth,valid,13,0.32088744862220975,0.8643993965613773,2021-04-23 20:15:38.855647
ORCA__Size-640x640_Epoch-14_Images-3344_Batch-1.pth,train,14,0.32794179212837815,0.8547943180942082,2021-04-23 21:29:14.185659
ORCA__Size-640x640_Epoch-14_Images-3344_Batch-1.pth,valid,14,0.37098349930591695,0.8324585894330563,2021-04-23 21:29:14.185684
ORCA__Size-640x640_Epoch-15_Images-3344_Batch-1.pth,train,15,0.3216960813627917,0.8600250879315099,2021-04-23 22:42:50.322689
ORCA__Size-640x640_Epoch-15_Images-3344_Batch-1.pth,valid,15,0.3402775524934062,0.846945482844235,2021-04-23 22:42:50.322717
ORCA__Size-640x640_Epoch-16_Images-3344_Batch-1.pth,train,16,0.3227176959350656,0.8578880879525376,2021-04-23 23:56:20.703673
ORCA__Size-640x640_Epoch-16_Images-3344_Batch-1.pth,valid,16,0.3144246819612694,0.8632347670250883,2021-04-23 23:56:20.703726
ORCA__Size-640x640_Epoch-17_Images-3344_Batch-1.pth,train,17,0.31889212370235204,0.8610859738582659,2021-04-24 01:09:46.437957
ORCA__Size-640x640_Epoch-17_Images-3344_Batch-1.pth,valid,17,0.32208826770091353,0.8618334960937497,2021-04-24 01:09:46.437982
ORCA__Size-640x640_Epoch-18_Images-3344_Batch-1.pth,train,18,0.31282887115999924,0.8661281085584718,2021-04-24 02:23:17.467588
ORCA__Size-640x640_Epoch-18_Images-3344_Batch-1.pth,valid,18,0.33057031967969813,0.8533621051747311,2021-04-24 02:23:17.467630
ORCA__Size-640x640_Epoch-19_Images-3344_Batch-1.pth,train,19,0.3092132426190366,0.8670420523465538,2021-04-24 03:36:48.286785
ORCA__Size-640x640_Epoch-19_Images-3344_Batch-1.pth,valid,19,0.3039004728587493,0.868402795278899,2021-04-24 03:36:48.286810
ORCA__Size-640x640_Epoch-20_Images-3344_Batch-1.pth,train,20,0.30453405799605976,0.8685816386099636,2021-04-24 04:50:21.502255
ORCA__Size-640x640_Epoch-20_Images-3344_Batch-1.pth,valid,20,0.3073467777089495,0.8680042976917196,2021-04-24 04:50:21.502317
ORCA__Size-640x640_Epoch-21_Images-3344_Batch-1.pth,train,21,0.3058035488930558,0.8685835565448384,2021-04-24 06:03:50.794250
ORCA__Size-640x640_Epoch-21_Images-3344_Batch-1.pth,valid,21,0.3011451789891189,0.8726227936921295,2021-04-24 06:03:50.794276
ORCA__Size-640x640_Epoch-22_Images-3344_Batch-1.pth,train,22,0.3034244745543102,0.8697526542992112,2021-04-24 07:17:23.980352
ORCA__Size-640x640_Epoch-22_Images-3344_Batch-1.pth,valid,22,0.30534698933211635,0.8652414075334157,2021-04-24 07:17:23.980408
ORCA__Size-640x640_Epoch-23_Images-3344_Batch-1.pth,train,23,0.3043111542430004,0.8703163409803492,2021-04-24 08:30:55.549453
ORCA__Size-640x640_Epoch-23_Images-3344_Batch-1.pth,valid,23,0.3154950532272209,0.8637705842340586,2021-04-24 08:30:55.549478
ORCA__Size-640x640_Epoch-24_Images-3344_Batch-1.pth,train,24,0.2977674270252604,0.8724281792891636,2021-04-24 09:44:29.921932
ORCA__Size-640x640_Epoch-24_Images-3344_Batch-1.pth,valid,24,0.2893359468239521,0.8796705530820632,2021-04-24 09:44:29.921977
ORCA__Size-640x640_Epoch-25_Images-3344_Batch-1.pth,train,25,0.29219540299120267,0.8752392943167829,2021-04-24 10:58:02.025021
ORCA__Size-640x640_Epoch-25_Images-3344_Batch-1.pth,valid,25,0.30553302709169,0.8690642734468339,2021-04-24 10:58:02.025048
