model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,train,1,0.3939175963401794,0.8228012084960937,2022-01-08 00:48:34.240324,[None]
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,test,1,0.36211905151605606,0.8289807891845703,2022-01-08 00:48:34.240372,[None]
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,train,2,0.3546383520960808,0.8397726058959961,2022-01-14 13:02:31.594037,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,test,2,0.3685041452944279,0.8250508499145508,2022-01-14 13:02:31.594080,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,train,3,0.34151640608906747,0.8469810485839844,2022-01-14 13:04:24.613861,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,test,3,0.35763697296381,0.8335918807983398,2022-01-14 13:04:24.613893,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,train,4,0.33387749403715133,0.8523829650878906,2022-01-14 13:06:17.794897,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,test,4,0.35321189656853674,0.8348211288452149,2022-01-14 13:06:17.794932,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,train,5,0.32397673159837725,0.8589674758911133,2022-01-14 13:08:11.472469,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,test,5,0.3499322994053364,0.8389804840087891,2022-01-14 13:08:11.472511,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,train,6,0.3484471456706524,0.8445714950561524,2022-01-14 13:10:11.677889,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,test,6,0.34546174213290215,0.8415262985229492,2022-01-14 13:10:11.677922,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,train,7,0.3298126868903637,0.8532542419433594,2022-01-14 13:12:05.069657,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__standard_9_operations_all.pth,standard_9_operations,test,7,0.341890070438385,0.8416858673095703,2022-01-14 13:12:05.069693,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
