model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,1,0.3939175963401794,0.8228012084960937,2022-01-08 00:48:34.240324,[None]
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,1,0.36211905151605606,0.8289807891845703,2022-01-08 00:48:34.240372,[None]
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,2,0.36118263483047486,0.8352754211425781,2022-01-09 10:56:29.314501,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,2,0.3703859257698059,0.8213792037963867,2022-01-09 10:56:29.314553,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,3,0.3504576641321182,0.8415730285644532,2022-01-09 10:59:39.508984,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,3,0.35932273462414743,0.8316154861450196,2022-01-09 10:59:39.509039,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,4,0.34648262202739716,0.8428126907348633,2022-01-09 11:02:50.847301,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,4,0.3525500038266182,0.8364862060546875,2022-01-09 11:02:50.847354,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,5,0.34126216351985933,0.8480165100097656,2022-01-09 11:06:00.646891,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,5,0.3610246141254902,0.8293869781494141,2022-01-09 11:06:00.646943,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,6,0.33915827482938765,0.8488397979736328,2022-01-09 11:09:11.197395,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,6,0.3657296851277351,0.8254679870605469,2022-01-09 11:09:11.197447,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,7,0.3356308077275753,0.8516382598876953,2022-01-09 11:12:21.370838,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,7,0.3586231417953968,0.8291521453857422,2022-01-09 11:12:21.370904,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-8_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,8,0.33297089487314224,0.8540085220336914,2022-01-09 11:15:32.216552,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-8_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,8,0.3663925504684448,0.8245114135742188,2022-01-09 11:15:32.216604,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-9_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,9,0.33102442741394045,0.855805892944336,2022-01-09 11:18:42.205680,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-9_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,9,0.3604831826686859,0.8288602447509765,2022-01-09 11:18:42.205731,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,10,0.3273156061768532,0.8552820587158203,2022-01-09 11:21:52.125054,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,10,0.362233390212059,0.8263798522949218,2022-01-09 11:21:52.125105,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-11_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,11,0.32769946083426477,0.8559381103515625,2022-01-09 11:25:01.764453,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-11_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,11,0.36721614316105844,0.8257335662841797,2022-01-09 11:25:01.764505,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-12_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,12,0.3129300940036774,0.8626021194458008,2022-01-09 11:28:11.723331,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-12_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,12,0.3495006591081619,0.8328090286254883,2022-01-09 11:28:11.723379,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-13_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,13,0.3135041503608227,0.8628719711303711,2022-01-09 11:31:21.299380,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-13_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,13,0.35761047422885894,0.832390480041504,2022-01-09 11:31:21.299426,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-14_Images-100_Batch-1__color_augmentation.pth,color_augmentation,train,14,0.30858552515506743,0.8672295761108398,2022-01-09 11:34:31.068863,['color_transfer']
ORCA_512x512__Size-512x512_Epoch-14_Images-100_Batch-1__color_augmentation.pth,color_augmentation,test,14,0.3706343571841717,0.8255027770996094,2022-01-09 11:34:31.068915,['color_transfer']
