model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,2,0.38814769834280016,0.8202787399291992,2022-01-11 12:50:20.675555,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,2,0.37189942091703415,0.8305232620239258,2022-01-11 12:50:20.675621,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,3,0.3796973593533039,0.8276025009155273,2022-01-11 12:53:18.592491,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,3,0.3734391698241234,0.8214088439941406,2022-01-11 12:53:18.592541,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,4,0.37395631402730944,0.8318157577514649,2022-01-11 12:56:17.299109,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,4,0.37619438841938974,0.8216534423828125,2022-01-11 12:56:17.299159,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,5,0.36923086062073707,0.8314731216430664,2022-01-11 12:59:15.637934,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,5,0.3628330308198929,0.8300435256958008,2022-01-11 12:59:15.637985,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,6,0.35917031303048136,0.8360227584838867,2022-01-11 13:02:13.937824,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,6,0.3662183992564678,0.8252596664428711,2022-01-11 13:02:13.937890,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,7,0.35920112892985345,0.8398340606689453,2022-01-11 13:05:12.683886,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,7,0.35814898401498796,0.8318146896362305,2022-01-11 13:05:12.683938,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-8_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,8,0.35564552471041677,0.8411544799804688,2022-01-11 13:08:11.070289,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-8_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,8,0.3595790268480778,0.8306562423706054,2022-01-11 13:08:11.070357,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-9_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,9,0.362432706952095,0.8395962905883789,2022-01-11 13:11:09.664972,[None 'grid_distortion' 'optical_distortion']
