model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,train,1,0.3939175963401794,0.8228012084960937,2022-01-08 00:48:34.240324,[None]
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,test,1,0.36211905151605606,0.8289807891845703,2022-01-08 00:48:34.240372,[None]
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,train,2,0.366678324341774,0.8307204055786133,2022-01-13 18:45:23.335988,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,test,2,0.3720597718656063,0.8246315765380859,2022-01-13 18:45:23.336017,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,train,3,0.3528921902179718,0.8394367599487305,2022-01-13 18:47:46.556873,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,test,3,0.35920055642724036,0.830910415649414,2022-01-13 18:47:46.556919,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,train,4,0.34508212164044383,0.8453003692626954,2022-01-13 18:50:09.782406,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,test,4,0.35604172125458716,0.8322677230834961,2022-01-13 18:50:09.782453,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,train,5,0.3437206085026264,0.8474590682983398,2022-01-13 18:52:32.915625,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,test,5,0.34777781799435614,0.8395561218261719,2022-01-13 18:52:32.915652,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,train,6,0.3382654367387295,0.8508611297607422,2022-01-13 18:54:56.038891,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,test,6,0.3385186690092087,0.843538818359375,2022-01-13 18:54:56.038923,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,train,7,0.3264961266517639,0.8577463912963867,2022-01-13 18:57:19.260784,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,test,7,0.3388271702826023,0.841298942565918,2022-01-13 18:57:19.260830,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,train,8,0.31945663303136823,0.8598976135253906,2022-01-13 18:59:42.199226,['inpainting']
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__inpainting_augmentation_inpainting.pth,inpainting_augmentation,test,8,0.34760761708021165,0.8368376541137695,2022-01-13 18:59:42.199268,['inpainting']
