model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__no_augmentation.pth,no_augmentation,train,1,0.3939175963401794,0.8228012084960937,2022-01-08 00:48:34.240324,[None]
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__no_augmentation.pth,no_augmentation,test,1,0.36211905151605606,0.8289807891845703,2022-01-08 00:48:34.240372,[None]
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__no_augmentation.pth,no_augmentation,train,2,0.35098367020487786,0.8435301208496093,2022-01-08 00:51:33.486827,[None]
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__no_augmentation.pth,no_augmentation,test,2,0.3588912092149258,0.8317408752441406,2022-01-08 00:51:33.486878,[None]
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__no_augmentation.pth,no_augmentation,train,3,0.3412805873155594,0.8479917144775391,2022-01-08 00:54:33.398944,[None]
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__no_augmentation.pth,no_augmentation,test,3,0.3575084774196148,0.8306424713134766,2022-01-08 00:54:33.398994,[None]
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__no_augmentation.pth,no_augmentation,train,4,0.33276194751262667,0.8528065109252929,2022-01-08 00:57:33.197746,[None]
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__no_augmentation.pth,no_augmentation,test,4,0.3536257603764534,0.8354833984375,2022-01-08 00:57:33.197809,[None]
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__no_augmentation.pth,no_augmentation,train,5,0.3264648626744747,0.8561050796508789,2022-01-08 01:00:33.019657,[None]
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__no_augmentation.pth,no_augmentation,test,5,0.34939599663019183,0.8401911544799805,2022-01-08 01:00:33.019701,[None]
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__no_augmentation.pth,no_augmentation,train,6,0.31816113740205765,0.8627738571166992,2022-01-08 01:03:32.903866,[None]
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__no_augmentation.pth,no_augmentation,test,6,0.34289620161056517,0.8409628295898437,2022-01-08 01:03:32.903928,[None]
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__no_augmentation.pth,no_augmentation,train,7,0.3127651059627533,0.8647053527832032,2022-01-08 01:06:33.030331,[None]
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__no_augmentation.pth,no_augmentation,test,7,0.34015667319297793,0.8450327682495117,2022-01-08 01:06:33.030559,[None]
ORCA_512x512__Size-512x512_Epoch-8_Images-100_Batch-1__no_augmentation.pth,no_augmentation,train,8,0.3081626607477665,0.8669743728637695,2022-01-08 01:09:32.595660,[None]
ORCA_512x512__Size-512x512_Epoch-8_Images-100_Batch-1__no_augmentation.pth,no_augmentation,test,8,0.33543693006038666,0.8464495849609375,2022-01-08 01:09:32.595709,[None]
