model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-512x512_Epoch-1_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,1,0.41388859897851943,0.8161394119262695,2021-05-31 08:15:44.463920
ORCA__Size-512x512_Epoch-1_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,1,0.34935189932584765,0.8644721984863282,2021-05-31 08:15:44.463949
ORCA__Size-512x512_Epoch-2_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,2,0.35991100799292325,0.842261552810669,2021-05-31 08:16:49.559746
ORCA__Size-512x512_Epoch-2_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,2,0.3350227579474449,0.8603899002075195,2021-05-31 08:16:49.559802
ORCA__Size-512x512_Epoch-2_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,3,0.3537125581875443,0.8432855606079102,2021-05-31 08:17:52.924262
ORCA__Size-512x512_Epoch-2_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,3,0.3364308878779411,0.8592981338500977,2021-05-31 08:17:52.924305
ORCA__Size-512x512_Epoch-2_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,4,0.34911336582154034,0.8440622806549072,2021-05-31 08:18:56.221266
ORCA__Size-512x512_Epoch-2_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,4,0.3387636348605156,0.8470495223999024,2021-05-31 08:18:56.221293
ORCA__Size-512x512_Epoch-2_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,5,0.34290271941572426,0.8486515998840332,2021-05-31 08:19:59.529027
ORCA__Size-512x512_Epoch-2_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,5,0.34091074764728546,0.8489131927490234,2021-05-31 08:19:59.529063
ORCA__Size-512x512_Epoch-6_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,6,0.3328444555401802,0.8550355434417725,2021-05-31 08:21:04.605390
ORCA__Size-512x512_Epoch-6_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,6,0.30851491540670395,0.8691198348999023,2021-05-31 08:21:04.605461
ORCA__Size-512x512_Epoch-6_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,7,0.3210553955286741,0.8612199306488038,2021-05-31 08:22:07.850858
ORCA__Size-512x512_Epoch-6_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,7,0.3162774883210659,0.8643709182739258,2021-05-31 08:22:07.850919
ORCA__Size-512x512_Epoch-6_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,8,0.32269920594990253,0.8610776901245117,2021-05-31 08:23:11.164810
ORCA__Size-512x512_Epoch-6_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,8,0.30930646881461143,0.8686094284057617,2021-05-31 08:23:11.164854
ORCA__Size-512x512_Epoch-9_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,9,0.31543735023587943,0.8641904830932617,2021-05-31 08:24:16.209186
ORCA__Size-512x512_Epoch-9_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,9,0.3012089475989342,0.8752416610717774,2021-05-31 08:24:16.209236
ORCA__Size-512x512_Epoch-9_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,10,0.3106540562584996,0.8654749870300293,2021-05-31 08:25:19.522322
ORCA__Size-512x512_Epoch-9_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,10,0.30723529532551763,0.8705057144165039,2021-05-31 08:25:19.522364
ORCA__Size-512x512_Epoch-9_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,11,0.30846113953739407,0.8651145458221435,2021-05-31 08:26:22.871637
ORCA__Size-512x512_Epoch-9_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,11,0.30290696024894714,0.8721488952636719,2021-05-31 08:26:22.871674
ORCA__Size-512x512_Epoch-12_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,12,0.3113832207396626,0.8620245933532715,2021-05-31 08:27:27.887630
ORCA__Size-512x512_Epoch-12_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,12,0.2946270614862442,0.8729774475097656,2021-05-31 08:27:27.887660
ORCA__Size-512x512_Epoch-12_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,13,0.30705659072846175,0.8655656337738037,2021-05-31 08:28:31.216092
ORCA__Size-512x512_Epoch-12_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,13,0.3078220017254353,0.8729112625122071,2021-05-31 08:28:31.216121
ORCA__Size-512x512_Epoch-14_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,14,0.29692992847412825,0.8692636013031005,2021-05-31 08:29:36.296794
ORCA__Size-512x512_Epoch-14_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,14,0.2911219969391823,0.8764183044433593,2021-05-31 08:29:36.296825
ORCA__Size-512x512_Epoch-14_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,15,0.2948938811197877,0.8712581634521485,2021-05-31 08:30:39.610068
ORCA__Size-512x512_Epoch-14_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,15,0.3019707828760147,0.8705141067504882,2021-05-31 08:30:39.610111
ORCA__Size-512x512_Epoch-16_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,16,0.2878256732597947,0.8735317707061767,2021-05-31 08:31:44.579538
ORCA__Size-512x512_Epoch-16_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,16,0.28644598126411436,0.8786550521850586,2021-05-31 08:31:44.579566
ORCA__Size-512x512_Epoch-16_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,17,0.2843353034928441,0.8753598690032959,2021-05-31 08:32:47.858768
ORCA__Size-512x512_Epoch-16_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,17,0.28910727202892306,0.8761371612548828,2021-05-31 08:32:47.858811
ORCA__Size-512x512_Epoch-18_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,18,0.27859866227954627,0.8781039714813232,2021-05-31 08:33:53.032101
ORCA__Size-512x512_Epoch-18_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,18,0.28558572232723234,0.8771787643432617,2021-05-31 08:33:53.032162
ORCA__Size-512x512_Epoch-18_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,19,0.2763963734731078,0.8792440891265869,2021-05-31 08:34:56.287671
ORCA__Size-512x512_Epoch-18_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,19,0.28619220554828645,0.8753911972045898,2021-05-31 08:34:56.287698
ORCA__Size-512x512_Epoch-18_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,20,0.27439624797552825,0.879918098449707,2021-05-31 08:35:59.617937
ORCA__Size-512x512_Epoch-18_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,20,0.2868474945425987,0.8759952545166015,2021-05-31 08:35:59.617980
ORCA__Size-512x512_Epoch-18_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,21,0.26952477227896454,0.8829910755157471,2021-05-31 08:37:02.880764
ORCA__Size-512x512_Epoch-18_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,21,0.2945366457104683,0.8716423034667968,2021-05-31 08:37:02.880794
ORCA__Size-512x512_Epoch-22_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,22,0.2689094118773937,0.8830180168151855,2021-05-31 08:38:07.950088
ORCA__Size-512x512_Epoch-22_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,22,0.2833174683153629,0.8775957107543946,2021-05-31 08:38:07.950130
ORCA__Size-512x512_Epoch-22_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,23,0.2655455434694886,0.8858065128326416,2021-05-31 08:39:11.234807
